   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.034111   -0.025867    0.000000    0.000000    0.000000    0.000000
    0.035936   -0.026422    0.000000    0.000000    0.000000    0.000000
    0.037807   -0.026969    0.000000    0.000000    0.000000    0.000000
    0.039726   -0.027506    0.000000    0.000000    0.000000    0.000000
    0.041691   -0.028035    0.000000    0.000000    0.000000    0.000000
    0.043704   -0.028554    0.000000    0.000000    0.000000    0.000000
    0.045763   -0.029064    0.000000    0.000000    0.000000    0.000000
    0.047870   -0.029564    0.000000    0.000000    0.000000    0.000000
    0.050023   -0.030056    0.000000    0.000000    0.000000    0.000000
    0.052223   -0.030538    0.000000    0.000000    0.000000    0.000000
    0.054470   -0.031010    0.000000    0.000000    0.000000    0.000000
    0.056763   -0.031473    0.000000    0.000000    0.000000    0.000000
    0.059104   -0.031927    0.000000    0.000000    0.000000    0.000000
    0.061491   -0.032372    0.000000    0.000000    0.000000    0.000000
    0.063925   -0.032807    0.000000    0.000000    0.000000    0.000000
    0.066406   -0.033232    0.000000    0.000000    0.000000    0.000000
    0.068933   -0.033648    0.000000    0.000000    0.000000    0.000000
    0.071507   -0.034055    0.000000    0.000000    0.000000    0.000000
    0.074128   -0.034451    0.000000    0.000000    0.000000    0.000000
    0.076795   -0.034839    0.000000    0.000000    0.000000    0.000000
    0.079509   -0.035216    0.000000    0.000000    0.000000    0.000000
    0.082270   -0.035584    0.000000    0.000000    0.000000    0.000000
    0.085077   -0.035943    0.000000    0.000000    0.000000    0.000000
    0.087931   -0.036292    0.000000    0.000000    0.000000    0.000000
    0.090831   -0.036631    0.000000    0.000000    0.000000    0.000000
    0.093778   -0.036960    0.000000    0.000000    0.000000    0.000000
    0.096771   -0.037279    0.000000    0.000000    0.000000    0.000000
    0.099811   -0.037589    0.000000    0.000000    0.000000    0.000000
    0.102897   -0.037889    0.000000    0.000000    0.000000    0.000000
    0.106030   -0.038180    0.000000    0.000000    0.000000    0.000000
    0.109210   -0.038460    0.000000    0.000000    0.000000    0.000000
    0.112436   -0.038731    0.000000    0.000000    0.000000    0.000000
    0.115708   -0.038992    0.000000    0.000000    0.000000    0.000000
    0.119027   -0.039243    0.000000    0.000000    0.000000    0.000000
    0.122392   -0.039485    0.000000    0.000000    0.000000    0.000000
    0.125804   -0.039716    0.000000    0.000000    0.000000    0.000000
    0.129262   -0.039938    0.000000    0.000000    0.000000    0.000000
    0.132767   -0.040150    0.000000    0.000000    0.000000    0.000000
    0.136318   -0.040352    0.000000    0.000000    0.000000    0.000000
    0.139916   -0.040545    0.000000    0.000000    0.000000    0.000000
    0.143560   -0.040727    0.000000    0.000000    0.000000    0.000000
    0.147251   -0.040900    0.000000    0.000000    0.000000    0.000000
    0.150988   -0.041063    0.000000    0.000000    0.000000    0.000000
    0.154772   -0.041217    0.000000    0.000000    0.000000    0.000000
    0.158602   -0.041361    0.000000    0.000000    0.000000    0.000000
    0.162478   -0.041495    0.000000    0.000000    0.000000    0.000000
    0.166401   -0.041619    0.000000    0.000000    0.000000    0.000000
    0.170371   -0.041734    0.000000    0.000000    0.000000    0.000000
    0.174387   -0.041839    0.000000    0.000000    0.000000    0.000000
    0.178450   -0.041935    0.000000    0.000000    0.000000    0.000000
    0.182560   -0.042021    0.000000    0.000000    0.000000    0.000000
    0.186715   -0.042098    0.000000    0.000000    0.000000    0.000000
    0.190918   -0.042166    0.000000    0.000000    0.000000    0.000000
    0.195167   -0.042224    0.000000    0.000000    0.000000    0.000000
    0.199463   -0.042272    0.000000    0.000000    0.000000    0.000000
    0.203806   -0.042312    0.000000    0.000000    0.000000    0.000000
    0.208195   -0.042342    0.000000    0.000000    0.000000    0.000000
    0.212631   -0.042363    0.000000    0.000000    0.000000    0.000000
    0.217113   -0.042375    0.000000    0.000000    0.000000    0.000000
    0.221643   -0.042378    0.000000    0.000000    0.000000    0.000000
    0.226219   -0.042372    0.000000    0.000000    0.000000    0.000000
    0.230842   -0.042357    0.000000    0.000000    0.000000    0.000000
    0.235512   -0.042333    0.000000    0.000000    0.000000    0.000000
    0.240229   -0.042301    0.000000    0.000000    0.000000    0.000000
    0.244993   -0.042260    0.000000    0.000000    0.000000    0.000000
    0.249803   -0.042211    0.000000    0.000000    0.000000    0.000000
    0.254661   -0.042153    0.000000    0.000000    0.000000    0.000000
    0.259566   -0.042087    0.000000    0.000000    0.000000    0.000000
    0.264518   -0.042013    0.000000    0.000000    0.000000    0.000000
    0.269517   -0.041931    0.000000    0.000000    0.000000    0.000000
    0.274563   -0.041840    0.000000    0.000000    0.000000    0.000000
    0.279656   -0.041742    0.000000    0.000000    0.000000    0.000000
    0.284797   -0.041636    0.000000    0.000000    0.000000    0.000000
    0.289985   -0.041523    0.000000    0.000000    0.000000    0.000000
    0.295220   -0.041402    0.000000    0.000000    0.000000    0.000000
    0.300503   -0.041273    0.000000    0.000000    0.000000    0.000000
    0.305833   -0.041138    0.000000    0.000000    0.000000    0.000000
    0.311211   -0.040995    0.000000    0.000000    0.000000    0.000000
    0.316636   -0.040846    0.000000    0.000000    0.000000    0.000000
    0.322109   -0.040690    0.000000    0.000000    0.000000    0.000000
    0.327630   -0.040527    0.000000    0.000000    0.000000    0.000000
    0.333198   -0.040357    0.000000    0.000000    0.000000    0.000000
    0.338814   -0.040182    0.000000    0.000000    0.000000    0.000000
    0.344478   -0.040000    0.000000    0.000000    0.000000    0.000000
    0.350190   -0.039812    0.000000    0.000000    0.000000    0.000000
    0.355950   -0.039619    0.000000    0.000000    0.000000    0.000000
    0.361758   -0.039420    0.000000    0.000000    0.000000    0.000000
    0.367614   -0.039216    0.000000    0.000000    0.000000    0.000000
    0.373518   -0.039006    0.000000    0.000000    0.000000    0.000000
    0.379471   -0.038792    0.000000    0.000000    0.000000    0.000000
    0.385471   -0.038572    0.000000    0.000000    0.000000    0.000000
    0.391521   -0.038348    0.000000    0.000000    0.000000    0.000000
    0.397618   -0.038120    0.000000    0.000000    0.000000    0.000000
    0.403795   -0.037886    0.000000    0.000000    0.000000    0.000000
    0.410040   -0.037644    0.000000    0.000000    0.000000    0.000000
    0.416333   -0.037392    0.000000    0.000000    0.000000    0.000000
    0.422675   -0.037131    0.000000    0.000000    0.000000    0.000000
    0.429066   -0.036862    0.000000    0.000000    0.000000    0.000000
    0.435506   -0.036583    0.000000    0.000000    0.000000    0.000000
    0.441994   -0.036295    0.000000    0.000000    0.000000    0.000000
    0.448531   -0.035999    0.000000    0.000000    0.000000    0.000000
    0.455117   -0.035694    0.000000    0.000000    0.000000    0.000000
    0.461751   -0.035380    0.000000    0.000000    0.000000    0.000000
    0.468435   -0.035058    0.000000    0.000000    0.000000    0.000000
    0.475167   -0.034728    0.000000    0.000000    0.000000    0.000000
    0.481948   -0.034389    0.000000    0.000000    0.000000    0.000000
    0.488779   -0.034043    0.000000    0.000000    0.000000    0.000000
    0.495658   -0.033688    0.000000    0.000000    0.000000    0.000000
    0.502586   -0.033326    0.000000    0.000000    0.000000    0.000000
    0.509564   -0.032956    0.000000    0.000000    0.000000    0.000000
    0.516590   -0.032578    0.000000    0.000000    0.000000    0.000000
    0.523666   -0.032193    0.000000    0.000000    0.000000    0.000000
    0.530791   -0.031800    0.000000    0.000000    0.000000    0.000000
    0.537966   -0.031401    0.000000    0.000000    0.000000    0.000000
    0.545189   -0.030994    0.000000    0.000000    0.000000    0.000000
    0.552462   -0.030580    0.000000    0.000000    0.000000    0.000000
    0.559784   -0.030159    0.000000    0.000000    0.000000    0.000000
    0.567156   -0.029731    0.000000    0.000000    0.000000    0.000000
    0.574577   -0.029297    0.000000    0.000000    0.000000    0.000000
    0.582048   -0.028856    0.000000    0.000000    0.000000    0.000000
    0.589568   -0.028409    0.000000    0.000000    0.000000    0.000000
    0.597138   -0.027956    0.000000    0.000000    0.000000    0.000000
    0.604758   -0.027496    0.000000    0.000000    0.000000    0.000000
    0.612427   -0.027030    0.000000    0.000000    0.000000    0.000000
    0.620146   -0.026559    0.000000    0.000000    0.000000    0.000000
    0.627915   -0.026081    0.000000    0.000000    0.000000    0.000000
    0.635733   -0.025598    0.000000    0.000000    0.000000    0.000000
    0.643602   -0.025109    0.000000    0.000000    0.000000    0.000000
    0.651520   -0.024614    0.000000    0.000000    0.000000    0.000000
    0.659488   -0.024114    0.000000    0.000000    0.000000    0.000000
    0.667507   -0.023609    0.000000    0.000000    0.000000    0.000000
    0.675575   -0.023098    0.000000    0.000000    0.000000    0.000000
    0.683694   -0.022582    0.000000    0.000000    0.000000    0.000000
    0.691862   -0.022061    0.000000    0.000000    0.000000    0.000000
    0.700081   -0.021535    0.000000    0.000000    0.000000    0.000000
    0.708351   -0.021004    0.000000    0.000000    0.000000    0.000000
    0.716670   -0.020468    0.000000    0.000000    0.000000    0.000000
    0.725040   -0.019927    0.000000    0.000000    0.000000    0.000000
    0.733461   -0.019381    0.000000    0.000000    0.000000    0.000000
    0.741932   -0.018831    0.000000    0.000000    0.000000    0.000000
    0.750453   -0.018275    0.000000    0.000000    0.000000    0.000000
    0.759026   -0.017715    0.000000    0.000000    0.000000    0.000000
    0.767648   -0.017150    0.000000    0.000000    0.000000    0.000000
    0.776322   -0.016580    0.000000    0.000000    0.000000    0.000000
    0.785046   -0.016005    0.000000    0.000000    0.000000    0.000000
    0.793822   -0.015426    0.000000    0.000000    0.000000    0.000000
    0.802648   -0.014842    0.000000    0.000000    0.000000    0.000000
    0.811526   -0.014253    0.000000    0.000000    0.000000    0.000000
    0.820454   -0.013658    0.000000    0.000000    0.000000    0.000000
    0.829434   -0.013059    0.000000    0.000000    0.000000    0.000000
    0.838464   -0.012455    0.000000    0.000000    0.000000    0.000000
    0.847547   -0.011846    0.000000    0.000000    0.000000    0.000000
    0.856680   -0.011231    0.000000    0.000000    0.000000    0.000000
    0.865865   -0.010611    0.000000    0.000000    0.000000    0.000000
    0.875102   -0.009986    0.000000    0.000000    0.000000    0.000000
    0.884390   -0.009355    0.000000    0.000000    0.000000    0.000000
    0.893731   -0.008718    0.000000    0.000000    0.000000    0.000000
    0.903122   -0.008075    0.000000    0.000000    0.000000    0.000000
    0.912566   -0.007425    0.000000    0.000000    0.000000    0.000000
    0.922062   -0.006770    0.000000    0.000000    0.000000    0.000000
    0.931610   -0.006107    0.000000    0.000000    0.000000    0.000000
    0.941211   -0.005438    0.000000    0.000000    0.000000    0.000000
    0.950863   -0.004761    0.000000    0.000000    0.000000    0.000000
    0.960568   -0.004077    0.000000    0.000000    0.000000    0.000000
    0.970326   -0.003384    0.000000    0.000000    0.000000    0.000000
    0.980137   -0.002684    0.000000    0.000000    0.000000    0.000000
    0.990000   -0.001975    0.000000    0.000000    0.000000    0.000000
    0.999916   -0.001257    0.000000    0.000000    0.000000    0.000000
